salt_100g,sugars_100g,saturated-fat_100g,fiber_100g,proteins_100g,additives_n,label
0.492,4.92,8.2,23.0,32.8,6.0,unhealthy
0.0417,10.0,0.0,0.0,0.0,4.0,unhealthy
3.58,4.6,1.2,2.7,8.4,2.0,unhealthy
3.7,0.0,1.85,18.5,37.0,2.0,unhealthy
1.5322580645161,11.290322580645,2.4193548387097,12.903225806452,38.709677419355,3.0,unhealthy
0.05,37.3,7.8,7.8,7.6,0.0,unhealthy
0.05,37.3,7.8,7.8,7.6,0.0,unhealthy
0.0,0.0,14.0,0.0,0.0,0.0,unhealthy
0.03048,11.67,0.0,0.4,0.42,0.0,unhealthy
1.6,198.0,73.6,8.0,32.0,1.0,unhealthy
0.13208,43.6,15.6,1.6,8.0,1.0,unhealthy
0.569,224.0,67.2,9.6,28.8,1.0,unhealthy
1.86,0.2,10.8,0.9,12.0,6.0,unhealthy
1.62,2.7,0.0,2.7,75.7,1.0,unhealthy
0.25,51.6,1.8,4.2,9.6,3.0,unhealthy
0.454545425,0.0,0.0,0.0,300.0,0.0,unhealthy
1.91,102.0,44.6,12.9,25.5,0.0,unhealthy
1.91,102.0,44.6,12.9,25.5,0.0,unhealthy
0.3675,17.65,10.29,1.5,2.94,1.0,unhealthy
1.08,51.9,30.3,4.41,8.65,1.0,unhealthy
1.3,2.8,0.5,10.0,9.9,0.0,unhealthy
1.2,30.0,1.7,17.0,35.0,7.0,unhealthy
1.2,21.0,1.6,18.0,35.0,6.0,unhealthy
1.2,23.0,1.6,18.0,35.0,2.0,unhealthy
1.2,21.0,1.6,18.0,35.0,0.0,unhealthy
1.2,21.0,1.9,18.0,35.0,1.0,unhealthy
2.5,17.0,1.0,16.0,39.0,7.0,unhealthy
0.78,2.9,0.4,5.6,8.9,4.0,unhealthy
0.14,16.9,7.04,0.0,2.82,2.0,unhealthy
0.1225,18.31,7.04,0.0,4.23,3.0,unhealthy
0.335,15.49,7.04,1.4,4.23,2.0,unhealthy
0.31,1.4,0.9,1.7,3.9,1.0,moderate
0.3975,2.52,6.05,1.0,11.84,3.0,unhealthy
0.0,14.29,28.57,3.6,3.57,0.0,unhealthy
2.27,63.8,0.0,25.4,63.8,2.0,unhealthy
1.62,1.62,2.48,1.88,7.09,2.0,unhealthy
0.04,5.9,0.0,1.0,0.5,0.0,unhealthy
0.34,17.4,3.7,0.6,5.1,0.0,unhealthy
1.0475,13.95,0.0,2.3,9.3,4.0,unhealthy
0.109,7.5,0.625,0.0,3.33,1.0,unhealthy
0.0,4.5,0.0,2.2,1.4,0.0,unhealthy
0.2,3.8,0.8,1.7,1.5,0.0,unhealthy
0.7,4.0,1.0,2.0,1.5,0.0,unhealthy
0.7,3.8,1.0,2.0,2.5,0.0,moderate
0.01,4.0,1.0,2.0,1.4,0.0,unhealthy
0.0,4.3,0.0,1.6,1.6,0.0,unhealthy
2.7,0.5,9.6,1.3,8.2,0.0,unhealthy
